vhquang,I guess the check for new line does not run on its own configuration. :)
vhquang,:+1: 
vhquang,Is there a reason we not need to lock the version of this library? 
ForeverWintr,I opened a separate pull request that applies all the fixes from these hooks (#21). Hopefully it caught this!
ForeverWintr,"I didn't see a need to lock it, although I guess we could require a minimum version. Do you see a benefit to locking it?"
flexatone,"We should at least lock it to a major release. We do not want to jump to a new major release automatically ever, I think. So `2.6.*` or `2.*`."
ForeverWintr,"Ok, I've pinned it. "
ForeverWintr,"Fyi, if these are pandas date objects you can do `df['tgt_model_update_time'].dt.date`"
flexatone,Should `plugin_outputs` also be populated in the companies table here?
flexatone,This is great!
flexatone,"While I like the concise name, this sounds like a Boolean field rather than a function. Maybe adding a verb will help, like `get_in_carve` or `process_in_carve`?"
flexatone,Same with this method.
flexatone,This is a great place for this information to live!
nekobon,"In our use case, we're currently adding them to company table and then passing the new column name in the plugin_output."
nekobon,That's a great point! I'll rename them to `process_in/pre_carve`.
flexatone,"ah, I did not see where they were being added to the company table!"
flexatone,wow!
flexatone,"Rather than directly interact with self._streams here, you can simply pass the SF `Frame` to `self.manage_table` and then `self.write_managed_table`; it is a bit more idiomatic that way, I think."
flexatone,This is an excellent function!
flexatone,"Is this the only way to do figure out if a callable is a lambda? If so, maybe just store `one_lambda` as a module-level constant."
nekobon,"Thanks! That sounds great. I followed how we write xlsx, but I see Frame is already supported in `managed_table`."
nekobon,"That `one_lambda` could be any lambda, so I think it can stay in the function. Perhaps `any_lambda` is a better name."
johnjhawk,"Can we rename foo? When I see foo, I think of that the dev left in some testing code.  Maybe obj?"
nekobon,"Thank you John, I will definitely change it to something else. I don't like foo! I've almost never used foo even for sketch code, so it's strange I did here! "
ForeverWintr,Don't forget to remove this!
ForeverWintr,This exception's docstring is `'An exception for when an if/elif/else branch has not matched any valid condition.'` So I think it's intended for a different case than you're using it for here.
gdevanla,"Ha. Its funny, this function uses that exception to mean vcs branch!   Good catch, we should create a new exception for this.  Probably, `InvalidCandidateChangeset`?"
vhquang,"I think this is the first time I see the `NotImplementedError` raise with message, let alone the kindness in the message."
nekobon,"We can take `sf.Series` and return `sf.Series` here. Recently, we don't make functions that only supports pandas in papyri's public api."
nekobon,Sending values to index seems a bit confusing. Is this the same as `m.index.loc[m!=sen]`?
nekobon,What is the dtype of returning Series? Can we make sure it always returns Series with the same dtype?
nekobon,"If you don't need to convert from pandas, maybe you can do something like this right below the lookup. ```python bics = [bics_6, bics_5, bics_4, bics_3] mapped = [b.iter_element().map_fill(lookup, fill_value=np.nan) for b in bics] return functools.reduce(lambda s1, s2: s1.fillna(s2), mapped) ```"
vhquang,It is a bit different than `m.index.loc[]`. The `loc` seems to select the matching index _values_. I was filtering the `m.index` base on the True/False _position_.
vhquang,The dtype of the return Series will be mix of string (from our lookup data) and the np.nan (which is float). Do you prefer using `None` instead of `np.nan`?
nekobon,"Here, I think an empty string would be a good ""missing"" value. We started to it in other places such as missing industry code. Also you would be able to use <U dtype then."
nekobon,Can you please add `get_raw_nace_data` and `get_raw_sic_data`? Please then make `get_raw_data` to call `get_raw_sic_data` and wrap it with `ISLib.deprecation.deprecated` (i.e. `get_raw_data = deprecated(get_raw_sic_data)`)
vhquang,This way of deprecating a classmethod feels a bit hacky. Is there a better way for me to use `deprecation.deprecated`?
flexatone,"You should be able to just use deprecated() as a decorator on top of (or under, I always forget) the classmethod decorator."
vhquang,"The `deprecation` wraps around the new method as the suggested replacement. So, follow Yu's suggestion above, if we have: ``` # get_raw_data = deprecated(get_raw_sic_data) >>> SectorIndustry.get_raw_data() -> DeprecationWarning: Use get_raw_sic_data instead. ```  If we do: ``` @classmethod @deprecated def get_raw_sic_data(cls):   pass  @classmethod def get_raw_data(cls):   cls.get_raw_sic_data()  >>> SectorIndustry.get_raw_data() -> DeprecationWarning: Use get_raw_sic_data instead. >>> SectorIndustry.get_raw_sic_data() -> DeprecationWarning: Use get_raw_sic_data instead. ``` :shrug: "
flexatone,"oh, i see! then there may be no other way than what you have done."
nekobon,I'd like to add a classmethod deprecation decorator in `deprecation.py`. We can make it take the new method name explicitly for the message. What do you think?
